"Scan_Results","04/13/2026 at 23:07:25 (GMT-0400)"
"neonray","1512 Bluebonnet Ln","","","","United States of America","78704"
"HD Moore","username","Manager"

"Launch Date","Active Hosts","Total Hosts","Type","Status","Reference","Scanner Appliance","Duration","Scan Title","Asset Groups","IPs","Excluded IPs","Option Profile","Network","FQDN"
"04/13/2026 at 08:00:45 (GMT-0400)","4","4","Scheduled (default option profile)","Finished","scan/1776081645.76234","Qualys-VMDR-Lab (Scanner 14.16.11-1, Vulnerability Signatures 2.6.578-2)","01:17:21","Neonray Scan Daily","","10.114.128.21-10.114.128.23,10.114.128.32","","Initial Options","Neonray",""

"IP","DNS","NetBIOS","OS","IP Status","QID","Title","Type","Severity","Port","Protocol","FQDN","SSL","CVE ID","Vendor Reference","Bugtraq ID","Threat","Impact","Solution","Exploitability","Associated Malware","Results","PCI Vuln","Instance","Category"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","19101","Microsoft SQL Server Cluster Presence Check","Ig","1","1434","udp","","","","","","The scanner probed the target Microsoft SQL Server to determine if a cluster is being used. Using SQL clustering is required for redundancy/fail-over purposes. The results of the check are posted below.","","","","","SQL Cluster Not Installed","no","","Database"
"10.114.128.32","No registered hostname","","","host scanned, found vuln","6","DNS Host Name","Ig","1","","","","","","","","The fully qualified domain name of this host, if it was obtained from a DNS server, is displayed in the RESULT section.","N/A","N/A","","","IP address	Host name
10.114.128.32	No registered hostname","no","","Information gathering"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","92094","SMBv2 Signing Not Required","Vuln","3","","","","","","","","The Server Message Block (SMB) protocol provides the basis for file and print sharing and many other networking operations, such as remote Windows administration. To prevent man-in-the-middle attacks that modify SMB packets in transit, the SMB protocol supports the digital signing of SMB packets. 
Beginning with SMBv2 clients and servers, signing can be either required or not required.  

Detection Logic: Detection is based on examining the corresponding fields in the SMB header from the SMB negotiation response packet, which includes the SMB2 signing details.","Unauthorized users sniffing the network could catch many challenge/response exchanges and replay the whole thing to grab particular session keys, and then authenticate on the Domain Controller.","Customers are advised to refer to Microsoft network server: Digitally sign communications (always) (https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/microsoft-network-server-digitally-sign-communications-always#default-values) or Microsoft network client: Digitally sign communications (always) (https://learn.microsoft.com/en-us/windows/security/threat-protection/security-policy-settings/microsoft-network-client-digitally-sign-communications-always) for more information pertaining to SMBv2 best practices, location, values, policy management and security considerations.","","","SMB2 Signing not required","yes","","Windows"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","48169","Remote Management Service Accepting Unencrypted Credentials Detected (FTP)","Vuln","3","","","","","","","","A remote management service that accepts unencrypted credentials was detected on the target host.
 
Services like FTP with basic auth are checked.","NA","If possible, use alternate services that provide encryption. 
Using strong cryptography, render all authentication credentials (such as passwords/phrases) unreadable during transmission.","","","Service name: FTP on TCP port 21.","yes","","Information gathering"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38794","Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1)","Vuln","3","21","tcp","","over ssl","","Deprecating TLS 1.0 and TLS 1.1","","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake. 

NOTE: On March 31, 2021 Transport Layer Security (TLS) versions 1.0 (RFC 2246) and 1.1 (RFC 4346) are formally deprecated.
Refer to Deprecating TLS 1.0 and TLS 1.1 (https://tools.ietf.org/html/rfc8996) 
 
QID Detection Logic (Unauthenticated): 
This QID is detected when the server accepts a TLS 1.1 handshake. Even though TLS 1.1 has no known direct vulnerabilities, it is deprecated and reported when supported or inferred during the handshake. TLS 1.1 is formally deprecated (RFC 8996)","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no","","General remote services"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38794","Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1)","Vuln","3","3389","tcp","","over ssl","","Deprecating TLS 1.0 and TLS 1.1","","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake. 

NOTE: On March 31, 2021 Transport Layer Security (TLS) versions 1.0 (RFC 2246) and 1.1 (RFC 4346) are formally deprecated.
Refer to Deprecating TLS 1.0 and TLS 1.1 (https://tools.ietf.org/html/rfc8996) 
 
QID Detection Logic (Unauthenticated): 
This QID is detected when the server accepts a TLS 1.1 handshake. Even though TLS 1.1 has no known direct vulnerabilities, it is deprecated and reported when supported or inferred during the handshake. TLS 1.1 is formally deprecated (RFC 8996)","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no","","General remote services"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38794","Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server Supports Transport Layer Security (TLSv1.1)","Vuln","3","443","tcp","","over ssl","","Deprecating TLS 1.0 and TLS 1.1","","The scan target supports version 1.1 of the TLS protocol. That version is in the process of being deprecated and is no longer recommended. Instead the newer versions 1.2 and/or 1.3 should be used. The TLSv1.1 protocol itself does not have any currently exploitable vulnerabilities. However some vendor implementations of TLSv1.1 have weaknesses which may be exploitable. 
This QID is posted as potential, when servers require client certificates and we cannot complete the handshake. 

NOTE: On March 31, 2021 Transport Layer Security (TLS) versions 1.0 (RFC 2246) and 1.1 (RFC 4346) are formally deprecated.
Refer to Deprecating TLS 1.0 and TLS 1.1 (https://tools.ietf.org/html/rfc8996) 
 
QID Detection Logic (Unauthenticated): 
This QID is detected when the server accepts a TLS 1.1 handshake. Even though TLS 1.1 has no known direct vulnerabilities, it is deprecated and reported when supported or inferred during the handshake. TLS 1.1 is formally deprecated (RFC 8996)","Supporting TLSv1.1 by itself does not necessarily have any harmful consequences, but it is no longer considered best practice because of bad past experience with some vendor implementations of TLSv1.1.","Disable the use of TLSv1.1 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1_1

If the test is successful, then the target support TLSv1.1","","","TLSv1.1 is supported","no","","General remote services"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38657","Birthday attacks against TLS ciphers with 64bit block size vulnerability (Sweet32)","Vuln","3","21","tcp","","over ssl","CVE-2016-2183","","92630,95568","Legacy block ciphers having block size of 64 bits are vulnerable to a practical collision attack when used in CBC mode. 
All versions of SSL/TLS protocol support cipher suites which use DES, 3DES, IDEA or RC2 as the symmetric encryption cipher are affected. 

Note: This CVE is patched at following versions 
OPENSSL-0.9.8J-0.102.2 
LIBOPENSSL0_9_8-0.9.8J-0.102.2 
LIBOPENSSL0_9_8-32BIT-0.9.8J-0.102.2 
OPENSSL1-1.0.1G-0.52.1 
OPENSSL1-DOC-1.0.1G-0.52.1 
LIBOPENSSL1_0_0-1.0.1G-0.52.1 
LIBOPENSSL1-DEVEL-1.0.1G-0.52.1 
JAVA-1_6_0-IBM-1.6.0_SR16.41-81.1","Remote attackers can obtain cleartext data via a birthday attack against a long-duration encrypted session.","Disable and stop using DES, 3DES, IDEA or RC2 ciphers. 
More information can be found at  Sweet32 (https://sweet32.info/), Microsoft Windows TLS changes docs (https://docs.microsoft.com/en-us/windows-server/security/tls/tls-schannel-ssp-changes-in-windows-10-and-windows-server) and Microsoft Transport Layer Security (TLS) registry settings (https://docs.microsoft.com/en-us/windows-server/security/tls/tls-registry-settings)","Source: 0day.today
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Hea
Link:https://0day.today/exploit/27866
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Hea
Link:https://raw.githubusercontent.com/vulncheck-oss/0day.today.archive/main/web-applications/27866.txt

Source: exploitdb
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Heap Buffer Overflow
Link:https://www.exploit-db.com/exploits/42091

Source: nist-nvd2
Reference:CVE-2016-2183
Description:The DES and Triple DES ciphers, as used in the TLS, SSH, and IPSec protocols and other protocols and products, have a birthday bound of approximately four billion blocks, which makes it easier for remote attackers to obtain cleartext data via a birthday attack against a long-duration encrypted session, as demonstrated by an HTTPS session using Triple DES in CBC mode, aka a ""Sweet32"" attack.
Link:https://www.exploit-db.com/exploits/42091/

Source: packetstorm
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server DLL Injection / Code Execution
Link:https://packetstormsecurity.com/files/142756/IBM-Informix-Dynamic-Server-DLL-Injection-Code-Execution.html

Source: github-exploits
Reference:CVE-2016-2183
Description:ZakyHermawan/Simple-Sweet32 exploit repository
Link:https://github.com/ZakyHermawan/Simple-Sweet32","","CIPHER	KEY-EXCHANGE	AUTHENTICATION	MAC	ENCRYPTION(KEY-STRENGTH)	GRADE
TLSv1 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.1 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.2 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM","yes","","General remote services"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38657","Birthday attacks against TLS ciphers with 64bit block size vulnerability (Sweet32)","Vuln","3","3389","tcp","","over ssl","CVE-2016-2183","","92630,95568","Legacy block ciphers having block size of 64 bits are vulnerable to a practical collision attack when used in CBC mode. 
All versions of SSL/TLS protocol support cipher suites which use DES, 3DES, IDEA or RC2 as the symmetric encryption cipher are affected. 

Note: This CVE is patched at following versions 
OPENSSL-0.9.8J-0.102.2 
LIBOPENSSL0_9_8-0.9.8J-0.102.2 
LIBOPENSSL0_9_8-32BIT-0.9.8J-0.102.2 
OPENSSL1-1.0.1G-0.52.1 
OPENSSL1-DOC-1.0.1G-0.52.1 
LIBOPENSSL1_0_0-1.0.1G-0.52.1 
LIBOPENSSL1-DEVEL-1.0.1G-0.52.1 
JAVA-1_6_0-IBM-1.6.0_SR16.41-81.1","Remote attackers can obtain cleartext data via a birthday attack against a long-duration encrypted session.","Disable and stop using DES, 3DES, IDEA or RC2 ciphers. 
More information can be found at  Sweet32 (https://sweet32.info/), Microsoft Windows TLS changes docs (https://docs.microsoft.com/en-us/windows-server/security/tls/tls-schannel-ssp-changes-in-windows-10-and-windows-server) and Microsoft Transport Layer Security (TLS) registry settings (https://docs.microsoft.com/en-us/windows-server/security/tls/tls-registry-settings)","Source: 0day.today
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Hea
Link:https://0day.today/exploit/27866
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Hea
Link:https://raw.githubusercontent.com/vulncheck-oss/0day.today.archive/main/web-applications/27866.txt

Source: exploitdb
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Heap Buffer Overflow
Link:https://www.exploit-db.com/exploits/42091

Source: nist-nvd2
Reference:CVE-2016-2183
Description:The DES and Triple DES ciphers, as used in the TLS, SSH, and IPSec protocols and other protocols and products, have a birthday bound of approximately four billion blocks, which makes it easier for remote attackers to obtain cleartext data via a birthday attack against a long-duration encrypted session, as demonstrated by an HTTPS session using Triple DES in CBC mode, aka a ""Sweet32"" attack.
Link:https://www.exploit-db.com/exploits/42091/

Source: packetstorm
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server DLL Injection / Code Execution
Link:https://packetstormsecurity.com/files/142756/IBM-Informix-Dynamic-Server-DLL-Injection-Code-Execution.html

Source: github-exploits
Reference:CVE-2016-2183
Description:ZakyHermawan/Simple-Sweet32 exploit repository
Link:https://github.com/ZakyHermawan/Simple-Sweet32","","CIPHER	KEY-EXCHANGE	AUTHENTICATION	MAC	ENCRYPTION(KEY-STRENGTH)	GRADE
TLSv1 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.1 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.2 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM","yes","","General remote services"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38657","Birthday attacks against TLS ciphers with 64bit block size vulnerability (Sweet32)","Vuln","3","443","tcp","","over ssl","CVE-2016-2183","","92630,95568","Legacy block ciphers having block size of 64 bits are vulnerable to a practical collision attack when used in CBC mode. 
All versions of SSL/TLS protocol support cipher suites which use DES, 3DES, IDEA or RC2 as the symmetric encryption cipher are affected. 

Note: This CVE is patched at following versions 
OPENSSL-0.9.8J-0.102.2 
LIBOPENSSL0_9_8-0.9.8J-0.102.2 
LIBOPENSSL0_9_8-32BIT-0.9.8J-0.102.2 
OPENSSL1-1.0.1G-0.52.1 
OPENSSL1-DOC-1.0.1G-0.52.1 
LIBOPENSSL1_0_0-1.0.1G-0.52.1 
LIBOPENSSL1-DEVEL-1.0.1G-0.52.1 
JAVA-1_6_0-IBM-1.6.0_SR16.41-81.1","Remote attackers can obtain cleartext data via a birthday attack against a long-duration encrypted session.","Disable and stop using DES, 3DES, IDEA or RC2 ciphers. 
More information can be found at  Sweet32 (https://sweet32.info/), Microsoft Windows TLS changes docs (https://docs.microsoft.com/en-us/windows-server/security/tls/tls-schannel-ssp-changes-in-windows-10-and-windows-server) and Microsoft Transport Layer Security (TLS) registry settings (https://docs.microsoft.com/en-us/windows-server/security/tls/tls-registry-settings)","Source: 0day.today
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Hea
Link:https://0day.today/exploit/27866
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Hea
Link:https://raw.githubusercontent.com/vulncheck-oss/0day.today.archive/main/web-applications/27866.txt

Source: exploitdb
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server / Informix Open Admin Tool - DLL Injection / Remote Code Execution / Heap Buffer Overflow
Link:https://www.exploit-db.com/exploits/42091

Source: nist-nvd2
Reference:CVE-2016-2183
Description:The DES and Triple DES ciphers, as used in the TLS, SSH, and IPSec protocols and other protocols and products, have a birthday bound of approximately four billion blocks, which makes it easier for remote attackers to obtain cleartext data via a birthday attack against a long-duration encrypted session, as demonstrated by an HTTPS session using Triple DES in CBC mode, aka a ""Sweet32"" attack.
Link:https://www.exploit-db.com/exploits/42091/

Source: packetstorm
Reference:CVE-2016-2183
Description:IBM Informix Dynamic Server DLL Injection / Code Execution
Link:https://packetstormsecurity.com/files/142756/IBM-Informix-Dynamic-Server-DLL-Injection-Code-Execution.html

Source: github-exploits
Reference:CVE-2016-2183
Description:ZakyHermawan/Simple-Sweet32 exploit repository
Link:https://github.com/ZakyHermawan/Simple-Sweet32","","CIPHER	KEY-EXCHANGE	AUTHENTICATION	MAC	ENCRYPTION(KEY-STRENGTH)	GRADE
TLSv1 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.1 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM
TLSv1.2 WITH 64-BIT CBC CIPHERS IS SUPPORTED	 	 	 	 	 
DES-CBC3-SHA	RSA	RSA	SHA1	3DES(168)	MEDIUM","yes","","General remote services"
"10.114.128.23","win2022-infra01.corp.neonray.biz","WIN2022-INFRA01","Windows 2016/2019/10","host scanned, found vuln","38628","Secure Sockets Layer/Transport Layer Security (SSL/TLS) Server supports Transport Layer Security (TLSv1.0)","Vuln","3","21","tcp","","over ssl","","Deprecating TLS 1.0 and TLS 1.1","","TLS is capable of using a multitude of ciphers (algorithms) to create the public and private key pairs. 
For example if TLSv1.0 uses either the RC4 stream cipher, or a block cipher in CBC mode. 
RC4 is known to have biases and the block cipher in CBC mode is vulnerable to the POODLE attack. 

TLSv1.0, if configured to use the same cipher suites as SSLv3, includes a means by which a TLS implementation can downgrade the connection to SSL v3.0, thus weakening security. 

A POODLE-type (https://blog.qualys.com/ssllabs/2014/12/08/poodle-bites-tls) attack could also be launched directly at TLS without negotiating a downgrade. 

  This QID is an automatic PCI FAIL in accordance with the PCI standards.  

Further details can be found under:  
PCI: ASV Program Guide v3.1 (page 27) (https://www.pcisecuritystandards.org/documents/ASV_Program_Guide_v3.1.pdf) 
PCI: Use of SSL Early TLS and ASV Scans (https://www.pcisecuritystandards.org/documents/Use-of-SSL-Early-TLS-and-ASV-Scans.pdf)
 
 

NOTE: On March 31, 2021 Transport Layer Security (TLS) versions 1.0 (RFC 2246) and 1.1 (RFC 4346) are formally deprecated.
Refer to Deprecating TLS 1.0 and TLS 1.1 (https://tools.ietf.org/html/rfc8996) 
 
QID Detection Logic (Unauthenticated): 
This QID is detected when the server successfully negotiates a TLS 1.0 handshake. Presence of TLS 1.0 alone is sufficient to flag this QID, independent of cipher strength. TLS 1.0 is deprecated (RFC 8996)","An attacker can exploit cryptographic flaws to conduct man-in-the-middle type attacks or to decryption communications. 
For example: An attacker could force a downgrade from the TLS protocol to the older SSLv3.0 protocol and exploit the POODLE vulnerability, read secure communications or maliciously modify messages. 
A POODLE-type (https://blog.qualys.com/ssllabs/2014/12/08/poodle-bites-tls) attack could also be launched directly at TLS without negotiating a downgrade.","Disable the use of TLSv1.0 protocol in favor of a cryptographically stronger protocol such as TLSv1.2.
The following openssl commands can be used to do a manual test:
openssl s_client -connect ip:port -tls1

If the test is successful, then the target support TLSv1","","","TLSv1.0 is supported","yes","","General remote services"
